a_over_b,mode_family,p,q,kz,ky,kx
1.6500000000000001,E_y,1,2,9419304.7767890301,306587.64648789563,95609.344651218009
1.6500000000000001,E_y,2,1,9421590.0756052192,153376.51764660288,191195.4520800524
1.7000000000000002,E_y,1,2,9419331.657526819,306587.64648789563,92923.357334648754
1.7000000000000002,E_y,2,1,9421697.5091399923,153376.51764660288,185825.99361801863
1.75,E_y,1,2,9419356.3649918232,306587.64648789563,90384.147466865659
1.75,E_y,2,1,9421796.2607209571,153376.51764660288,180749.75823893817
1.8,E_y,1,2,9419379.1272814739,306587.64648789563,87980.005452198762
1.8,E_y,2,1,9421887.24096171,153376.51764660288,175943.37794247089
1.8500000000000001,E_y,1,2,9419400.1433371864,306587.64648789563,85700.434798657196
1.8500000000000001,E_y,2,1,9421971.2441851813,153376.51764660288,171385.90194763412
1.9000000000000001,E_y,1,2,9419419.5873044021,306587.64648789563,83535.999015053472
1.9000000000000001,E_y,2,1,9422048.9657933135,153376.51764660288,167058.4922474866
1.9500000000000002,E_y,1,2,9419437.6121505816,306587.64648789563,81478.191120204603
1.9500000000000002,E_y,2,1,9422121.0166848432,153376.51764660288,162944.16400913708
2,E_y,1,2,9419454.352682,306587.64648789563,79519.321962724091
2,E_y,2,1,9422187.9352806583,153376.51764660288,159027.56330413005
2.0499999999999998,E_y,1,2,9419469.9280708767,306587.64648789563,77652.424261740729
2.0499999999999998,E_y,2,1,9422250.1975997258,153376.51764660288,155294.77605763625
2.1000000000000001,E_y,1,2,9419484.4439815953,306587.64648789563,75871.169847518177
2.1000000000000001,E_y,2,1,9422308.2257383894,153376.51764660288,151733.16322263848
2.1500000000000004,E_y,1,2,9419497.9943670779,306587.64648789563,74169.79803046782
2.1500000000000004,E_y,2,1,9422362.3950357195,153376.51764660288,148331.21807497652
2.2000000000000002,E_y,1,2,9419510.662992524,306587.64648789563,72543.05339196368
2.2000000000000002,E_y,2,1,9422413.0401524305,153376.51764660288,145078.44224513514
2.25,E_y,1,2,9419522.5247327853,306587.64648789563,70986.131581888418
2.25,E_y,2,1,9422460.4602476135,153376.51764660288,141965.23767881579
2.2999999999999998,E_y,1,2,9419533.6466810238,306587.64648789563,69494.631946378271
2.2999999999999998,E_y,2,1,9422504.9234030377,153376.51764660288,138982.81219048938
2.3500000000000001,E_y,1,2,9419544.0890993588,306587.64648789563,68064.516002128803
2.3500000000000001,E_y,2,1,9422546.6704174783,153376.51764660288,136123.09665648843
2.4000000000000004,E_y,1,2,9419553.9062367473,306587.64648789563,66692.070932936767
2.4000000000000004,E_y,2,1,9422585.9180714656,153376.51764660288,133378.67220884206
2.4500000000000002,E_y,1,2,9419563.1470348593,306587.64648789563,65373.877413163122
2.4500000000000002,E_y,2,1,9422622.8619452789,153376.51764660288,130742.70604899898
2.5,E_y,1,2,9419571.8557391446,306587.64648789563,64106.781172370247
2.5,E_y,2,1,9422657.6788587086,153376.51764660288,128208.89471442084
2.5500000000000003,E_y,1,2,9419580.072429372,306587.64648789563,62887.867802433502
2.5500000000000003,E_y,2,1,9422690.5289894547,153376.51764660288,125771.41380812708
2.6000000000000001,E_y,1,2,9419587.8334815316,306587.64648789563,61714.440384605608
2.6000000000000001,E_y,2,1,9422721.557717694,153376.51764660288,123424.87334855553
2.6499999999999999,E_y,1,2,9419595.171971079,306587.64648789563,60583.999574324887
2.6499999999999999,E_y,2,1,9422750.897236472,153376.51764660288,121164.2780200206
2.7000000000000002,E_y,1,2,9419602.1180258747,306587.64648789563,59494.225835214209
2.7000000000000002,E_y,2,1,9422778.6679613255,153376.51764660288,118984.99170843084
