case_id,ratio_id,ratio_label,curve_id,curve_label,solver_model,transverse_equation,p,n1_over_n5,index_ratio_squared,a_over_A5,sample_index,c_over_a,c_over_A5,kx_A5_over_pi,sqrt_one_minus_kx_A5_over_pi_squared,normalized_coupling,domain_valid,status
CP-011-FIG11-001,n1_over_n5=1.5,1.5,a_over_A5=0.5,0.5,exact,eq20,1,1.5,0.44444444444444442,0.5,27,0.54000000000000004,0.27000000000000002,0.92924316284511965,0.36946873251413087,0.46640258251283279,1,ok
CP-011-FIG11-001,n1_over_n5=1.5,1.5,a_over_A5=0.5,0.5,exact,eq20,1,1.5,0.44444444444444442,0.5,28,0.56000000000000005,0.28000000000000003,0.92924316284511965,0.36946873251413087,0.46102025060112828,1,ok
CP-011-FIG11-001,n1_over_n5=1.5,1.5,a_over_A5=0.5,0.5,exact,eq20,1,1.5,0.44444444444444442,0.5,29,0.57999999999999996,0.28999999999999998,0.92924316284511965,0.36946873251413087,0.45570003133179326,1,ok
CP-011-FIG11-001,n1_over_n5=1.5,1.5,a_over_A5=0.5,0.5,exact,eq20,1,1.5,0.44444444444444442,0.5,30,0.59999999999999998,0.29999999999999999,0.92924316284511965,0.36946873251413087,0.450441207918794,1,ok
CP-011-FIG11-001,n1_over_n5=1.5,1.5,a_over_A5=0.5,0.5,exact,eq20,1,1.5,0.44444444444444442,0.5,31,0.62,0.31,0.92924316284511965,0.36946873251413087,0.4452430718478787,1,ok
CP-011-FIG11-001,n1_over_n5=1.5,1.5,a_over_A5=0.5,0.5,exact,eq20,1,1.5,0.44444444444444442,0.5,32,0.64000000000000001,0.32000000000000001,0.92924316284511965,0.36946873251413087,0.44010492278111996,1,ok
CP-011-FIG11-001,n1_over_n5=1.5,1.5,a_over_A5=0.5,0.5,exact,eq20,1,1.5,0.44444444444444442,0.5,33,0.66000000000000003,0.33000000000000002,0.92924316284511965,0.36946873251413087,0.43502606846255953,1,ok
CP-011-FIG11-001,n1_over_n5=1.5,1.5,a_over_A5=0.5,0.5,exact,eq20,1,1.5,0.44444444444444442,0.5,34,0.68000000000000005,0.34000000000000002,0.92924316284511965,0.36946873251413087,0.43000582462494114,1,ok
CP-011-FIG11-001,n1_over_n5=1.5,1.5,a_over_A5=0.5,0.5,exact,eq20,1,1.5,0.44444444444444442,0.5,35,0.70000000000000007,0.35000000000000003,0.92924316284511965,0.36946873251413087,0.42504351489752046,1,ok
CP-011-FIG11-001,n1_over_n5=1.5,1.5,a_over_A5=0.5,0.5,exact,eq20,1,1.5,0.44444444444444442,0.5,36,0.71999999999999997,0.35999999999999999,0.92924316284511965,0.36946873251413087,0.42013847071493809,1,ok
CP-011-FIG11-001,n1_over_n5=1.5,1.5,a_over_A5=0.5,0.5,exact,eq20,1,1.5,0.44444444444444442,0.5,37,0.73999999999999999,0.37,0.92924316284511965,0.36946873251413087,0.41529003122714542,1,ok
CP-011-FIG11-001,n1_over_n5=1.5,1.5,a_over_A5=0.5,0.5,exact,eq20,1,1.5,0.44444444444444442,0.5,38,0.76000000000000001,0.38,0.92924316284511965,0.36946873251413087,0.41049754321036847,1,ok
CP-011-FIG11-001,n1_over_n5=1.5,1.5,a_over_A5=0.5,0.5,exact,eq20,1,1.5,0.44444444444444442,0.5,39,0.78000000000000003,0.39000000000000001,0.92924316284511965,0.36946873251413087,0.40576036097910018,1,ok
CP-011-FIG11-001,n1_over_n5=1.5,1.5,a_over_A5=0.5,0.5,exact,eq20,1,1.5,0.44444444444444442,0.5,40,0.80000000000000004,0.40000000000000002,0.92924316284511965,0.36946873251413087,0.40107784629910814,1,ok
CP-011-FIG11-001,n1_over_n5=1.5,1.5,a_over_A5=0.5,0.5,exact,eq20,1,1.5,0.44444444444444442,0.5,41,0.82000000000000006,0.41000000000000003,0.92924316284511965,0.36946873251413087,0.39644936830144617,1,ok
CP-011-FIG11-001,n1_over_n5=1.5,1.5,a_over_A5=0.5,0.5,exact,eq20,1,1.5,0.44444444444444442,0.5,42,0.83999999999999997,0.41999999999999998,0.92924316284511965,0.36946873251413087,0.39187430339745799,1,ok
CP-011-FIG11-001,n1_over_n5=1.5,1.5,a_over_A5=0.5,0.5,exact,eq20,1,1.5,0.44444444444444442,0.5,43,0.85999999999999999,0.42999999999999999,0.92924316284511965,0.36946873251413087,0.38735203519476197,1,ok
CP-011-FIG11-001,n1_over_n5=1.5,1.5,a_over_A5=0.5,0.5,exact,eq20,1,1.5,0.44444444444444442,0.5,44,0.88,0.44,0.92924316284511965,0.36946873251413087,0.38288195441420569,1,ok
CP-011-FIG11-001,n1_over_n5=1.5,1.5,a_over_A5=0.5,0.5,exact,eq20,1,1.5,0.44444444444444442,0.5,45,0.90000000000000002,0.45000000000000001,0.92924316284511965,0.36946873251413087,0.37846345880777832,1,ok
CP-011-FIG11-001,n1_over_n5=1.5,1.5,a_over_A5=0.5,0.5,exact,eq20,1,1.5,0.44444444444444442,0.5,46,0.92000000000000004,0.46000000000000002,0.92924316284511965,0.36946873251413087,0.37409595307747051,1,ok
CP-011-FIG11-001,n1_over_n5=1.5,1.5,a_over_A5=0.5,0.5,exact,eq20,1,1.5,0.44444444444444442,0.5,47,0.94000000000000006,0.47000000000000003,0.92924316284511965,0.36946873251413087,0.369778848795071,1,ok
