case_id,curve_id,solver_model,mode_family,p,q,sample_index,a_over_A,a,b,guided,domain_valid,kx,ky,kz,kz_normalized_against_n4
SG-008-METAL-001,E_y_1_1,exact,E_y,1,1,74,2.4858333333333333,2.7175536016633197e-06,1.3587768008316599e-06,1,1,917011.16190526611,933719.31474267459,9333471.9359958377,0.79260215938891321
SG-008-METAL-001,E_y_1_1,exact,E_y,1,1,75,2.5187500000000003,2.7535386392984864e-06,1.3767693196492432e-06,1,1,907549.08297486533,923932.52272561437,9335370.5317596067,0.79689418570843806
SG-008-METAL-001,E_y_1_1,exact,E_y,1,1,76,2.5516666666666667,2.7895236769336523e-06,1.3947618384668261e-06,1,1,898278.06964917888,914345.76015564881,9337210.9299446046,0.80105548197678245
SG-008-METAL-001,E_y_1_1,exact,E_y,1,1,77,2.5845833333333332,2.8255087145688186e-06,1.4127543572844093e-06,1,1,889192.48590001382,904953.08531780797,9338995.4623715822,0.80509124434698986
SG-008-METAL-001,E_y_1_1,exact,E_y,1,1,78,2.6175000000000002,2.8614937522039853e-06,1.4307468761019926e-06,1,1,880286.91023335699,895748.7825511985,9340726.3467052784,0.80900641709609644
SG-008-METAL-001,E_y_1_1,exact,E_y,1,1,79,2.6504166666666666,2.8974787898391511e-06,1.4487393949195756e-06,1,1,871556.12590035459,886727.35205715708,9342405.6929852664,0.81280570686052167
SG-008-METAL-001,E_y_1_1,exact,E_y,1,1,80,2.6833333333333336,2.9334638274743178e-06,1.4667319137371589e-06,1,1,862995.11161631427,877883.50022228807,9344035.5097339004,0.81649359596350668
SG-008-METAL-001,E_y_1_1,exact,E_y,1,1,81,2.7162500000000001,2.9694488651094841e-06,1.4847244325547421e-06,1,1,854599.03275147069,869212.13041914441,9345617.7096731663,0.8200743549018048
SG-008-METAL-001,E_y_1_1,exact,E_y,1,1,82,2.749166666666667,3.0054339027446504e-06,1.5027169513723252e-06,1,1,846363.23298338079,860708.33427082561,9347154.1150756106,0.82355205404437937
SG-008-METAL-001,E_y_1_1,exact,E_y,1,1,83,2.7820833333333335,3.0414189403798167e-06,1.5207094701899083e-06,1,1,838283.22636684531,852367.38335009234,9348646.462777229,0.82693057460234742
