case_id,table_entry_interpretation,row_id,article_panel_id,solver_model,mode_id,mode_family,p,q,cutoff_found,guided_at_search_min,guided_at_search_max,guided_in_search_window,cutoff_status,cutoff_b_normalized,cutoff_a_normalized,cutoff_b_over_A4
SG-TBL-001,a_times_n1_over_lambda,SG-TBL-001A-1010,SG-006a,closed_form,E_x_2_3,E_x,2,3,1,0,1,1,found,10.589118595570326,10.589118595570326,2.9728052748824827
SG-TBL-001,a_times_n1_over_lambda,SG-TBL-001A-1010,SG-006a,closed_form,E_y_2_4,E_y,2,4,1,0,1,1,found,13.697866148650647,13.697866148650647,3.84555979554119
SG-TBL-001,a_times_n1_over_lambda,SG-TBL-001A-1010,SG-006a,closed_form,E_x_2_4,E_x,2,4,1,0,1,1,found,13.671057616919281,13.671057616919281,3.8380335275309143
SG-TBL-001,a_times_n1_over_lambda,SG-TBL-001A-1010,SG-006a,closed_form,E_y_3_1,E_y,3,1,1,0,1,1,found,9.0008741770684715,9.0008741770684715,2.5269191189657754
SG-TBL-001,a_times_n1_over_lambda,SG-TBL-001A-1010,SG-006a,closed_form,E_x_3_1,E_x,3,1,1,0,1,1,found,9.0366193826496577,9.0366193826496577,2.5369542823974101
SG-TBL-001,a_times_n1_over_lambda,SG-TBL-001A-1010,SG-006a,closed_form,E_y_3_2,E_y,3,2,1,0,1,1,found,10.589118595570326,10.589118595570326,2.9728052748824827
SG-TBL-001,a_times_n1_over_lambda,SG-TBL-001A-1010,SG-006a,closed_form,E_x_3_2,E_x,3,2,1,0,1,1,found,10.606303647309542,10.606303647309542,2.9776298324694417
SG-TBL-001,a_times_n1_over_lambda,SG-TBL-001A-1010,SG-006a,closed_form,E_y_3_3,E_y,3,3,1,0,1,1,found,12.867020668238403,12.867020668238403,3.612306970531276
SG-TBL-001,a_times_n1_over_lambda,SG-TBL-001A-1010,SG-006a,closed_form,E_x_3_3,E_x,3,3,1,0,1,1,found,12.867020668238403,12.867020668238403,3.612306970531276
SG-TBL-001,a_times_n1_over_lambda,SG-TBL-001A-1010,SG-006a,closed_form,E_y_3_4,E_y,3,4,1,0,1,1,found,15.570974960774187,15.570974960774187,4.3714192149870268
SG-TBL-001,a_times_n1_over_lambda,SG-TBL-001A-1010,SG-006a,closed_form,E_x_3_4,E_x,3,4,1,0,1,1,found,15.558464213311673,15.558464213311673,4.3679069286986438
