case_id,curve_id,curve_label,solver_model,transverse_equation,p,a_over_A5,sample_index,c_over_a,c_over_A5,kx_A5_over_pi,sqrt_one_minus_kx_A5_over_pi_squared,normalized_coupling,domain_valid,status
CP-010-FIG10-001,a_over_A5=0.5,0.5,exact,eq6,1,0.5,90,1.8,0.90000000000000002,0.80616259520668487,0.59169406798583235,0.14434722615055456,1,ok
CP-010-FIG10-001,a_over_A5=0.5,0.5,exact,eq6,1,0.5,91,1.8200000000000001,0.91000000000000003,0.80616259520668487,0.59169406798583235,0.14168879561732442,1,ok
CP-010-FIG10-001,a_over_A5=0.5,0.5,exact,eq6,1,0.5,92,1.8400000000000001,0.92000000000000004,0.80616259520668487,0.59169406798583235,0.13907932517212979,1,ok
CP-010-FIG10-001,a_over_A5=0.5,0.5,exact,eq6,1,0.5,93,1.8600000000000001,0.93000000000000005,0.80616259520668487,0.59169406798583235,0.13651791312121164,1,ok
CP-010-FIG10-001,a_over_A5=0.5,0.5,exact,eq6,1,0.5,94,1.8800000000000001,0.94000000000000006,0.80616259520668487,0.59169406798583235,0.13400367437722802,1,ok
CP-010-FIG10-001,a_over_A5=0.5,0.5,exact,eq6,1,0.5,95,1.9000000000000001,0.95000000000000007,0.80616259520668487,0.59169406798583235,0.13153574015341488,1,ok
CP-010-FIG10-001,a_over_A5=0.5,0.5,exact,eq6,1,0.5,96,1.9199999999999999,0.95999999999999996,0.80616259520668487,0.59169406798583235,0.12911325766337972,1,ok
CP-010-FIG10-001,a_over_A5=0.5,0.5,exact,eq6,1,0.5,97,1.9399999999999999,0.96999999999999997,0.80616259520668487,0.59169406798583235,0.12673538982642424,1,ok
CP-010-FIG10-001,a_over_A5=0.5,0.5,exact,eq6,1,0.5,98,1.96,0.97999999999999998,0.80616259520668487,0.59169406798583235,0.1244013149782939,1,ok
CP-010-FIG10-001,a_over_A5=0.5,0.5,exact,eq6,1,0.5,99,1.98,0.98999999999999999,0.80616259520668487,0.59169406798583235,0.12211022658725446,1,ok
CP-010-FIG10-001,a_over_A5=0.5,0.5,exact,eq6,1,0.5,100,2,1,0.80616259520668487,0.59169406798583235,0.11986133297539783,1,ok
CP-010-FIG10-001,a_over_A5=0.5,0.5,exact,eq6,1,0.5,101,2.02,1.01,0.80616259520668487,0.59169406798583235,0.11765385704508022,1,ok
CP-010-FIG10-001,a_over_A5=0.5,0.5,exact,eq6,1,0.5,102,2.04,1.02,0.80616259520668487,0.59169406798583235,0.11548703601039878,1,ok
CP-010-FIG10-001,a_over_A5=0.5,0.5,exact,eq6,1,0.5,103,2.0600000000000001,1.03,0.80616259520668487,0.59169406798583235,0.1133601211336136,1,ok
CP-010-FIG10-001,a_over_A5=0.5,0.5,exact,eq6,1,0.5,104,2.0800000000000001,1.04,0.80616259520668487,0.59169406798583235,0.11127237746642356,1,ok
CP-010-FIG10-001,a_over_A5=0.5,0.5,exact,eq6,1,0.5,105,2.1000000000000001,1.05,0.80616259520668487,0.59169406798583235,0.1092230835960078,1,ok
CP-010-FIG10-001,a_over_A5=0.5,0.5,exact,eq6,1,0.5,106,2.1200000000000001,1.0600000000000001,0.80616259520668487,0.59169406798583235,0.1072115313957436,1,ok
CP-010-FIG10-001,a_over_A5=0.5,0.5,exact,eq6,1,0.5,107,2.1400000000000001,1.0700000000000001,0.80616259520668487,0.59169406798583235,0.10523702578051597,1,ok
CP-010-FIG10-001,a_over_A5=0.5,0.5,exact,eq6,1,0.5,108,2.1600000000000001,1.0800000000000001,0.80616259520668487,0.59169406798583235,0.10329888446653283,1,ok
CP-010-FIG10-001,a_over_A5=0.5,0.5,exact,eq6,1,0.5,109,2.1800000000000002,1.0900000000000001,0.80616259520668487,0.59169406798583235,0.10139643773556468,1,ok
CP-010-FIG10-001,a_over_A5=0.5,0.5,exact,eq6,1,0.5,110,2.2000000000000002,1.1000000000000001,0.80616259520668487,0.59169406798583235,0.099529028203525258,1,ok
CP-010-FIG10-001,a_over_A5=0.5,0.5,exact,eq6,1,0.5,111,2.2200000000000002,1.1100000000000001,0.80616259520668487,0.59169406798583235,0.09769601059331498,1,ok
CP-010-FIG10-001,a_over_A5=0.5,0.5,exact,eq6,1,0.5,112,2.2400000000000002,1.1200000000000001,0.80616259520668487,0.59169406798583235,0.095896751511847345,1,ok
CP-010-FIG10-001,a_over_A5=0.5,0.5,exact,eq6,1,0.5,113,2.2600000000000002,1.1300000000000001,0.80616259520668487,0.59169406798583235,0.094130629231182372,1,ok
CP-010-FIG10-001,a_over_A5=0.5,0.5,exact,eq6,1,0.5,114,2.2800000000000002,1.1400000000000001,0.80616259520668487,0.59169406798583235,0.092397033473690368,1,ok
